time,cell_id,cell_type,substrate,fba_reaction,flux_lb,flux_value,concentration_mM
8,6,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,6,zone_3,oxygen,r0855,-19.571,-3.74346e-12,22.8095
8,6,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,6,zone_3,oxygen,r0855,-19.571,-3.74346e-12,22.8095
8,3,zone_2,glucose,r1032,-9.09025,4.11793e-12,4.996
8,3,zone_2,oxygen,r0855,-19.7357,-3.74346e-12,37.3298
8,3,zone_2,glucose,r1032,-9.09025,4.11793e-12,4.996
8,3,zone_2,oxygen,r0855,-19.7357,-3.74346e-12,37.3298
8,7,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,7,zone_3,oxygen,r0855,-19.5628,-3.74346e-12,22.3748
8,7,zone_3,glucose,r1032,-9.09025,4.11793e-12,4.996
8,7,zone_3,oxygen,r0855,-19.5628,-3.74346e-12,22.3748
10,4,zone_2,glucose,r1032,-9.09008,4.11793e-12,4.995
10,4,zone_2,oxygen,r0855,-19.7348,-3.74346e-12,37.2007
10,4,zone_2,glucose,r1032,-9.09008,4.11793e-12,4.995
10,4,zone_2,oxygen,r0855,-19.7348,-3.74346e-12,37.2007
10,0,zone_1,glucose,r1032,-9.09008,4.11793e-12,4.995
10,0,zone_1,oxygen,r0855,-19.7739,-3.74346e-12,43.7332
10,0,zone_1,glucose,r1032,-9.09008,4.11793e-12,4.995
10,0,zone_1,oxygen,r0855,-19.7739,-3.74346e-12,43.7332
10,8,zone_3,glucose,r1032,-9.09008,4.11793e-12,4.995
10,8,zone_3,oxygen,r0855,-19.5848,-3.74346e-12,23.5838
10,8,zone_3,glucose,r1032,-9.09008,4.11793e-12,4.995
10,8,zone_3,oxygen,r0855,-19.5848,-3.74346e-12,23.5838
10,5,zone_2,glucose,r1032,-9.09008,4.11793e-12,4.995
10,5,zone_2,oxygen,r0855,-19.7323,-3.74346e-12,36.861
10,5,zone_2,glucose,r1032,-9.09008,4.11793e-12,4.995
10,5,zone_2,oxygen,r0855,-19.7323,-3.74346e-12,36.861
10,1,zone_1,glucose,r1032,-9.09008,4.11793e-12,4.995
10,1,zone_1,oxygen,r0855,-19.7739,-3.74346e-12,43.7332
10,1,zone_1,glucose,r1032,-9.09008,4.11793e-12,4.995
10,1,zone_1,oxygen,r0855,-19.7739,-3.74346e-12,43.7332
10,6,zone_3,glucose,r1032,-9.09008,4.11793e-12,4.995
10,6,zone_3,oxygen,r0855,-19.5955,-3.74346e-12,24.223
10,6,zone_3,glucose,r1032,-9.09008,4.11793e-12,4.995
10,6,zone_3,oxygen,r0855,-19.5955,-3.74346e-12,24.223
10,2,zone_1,glucose,r1032,-9.09008,4.11793e-12,4.995
10,2,zone_1,oxygen,r0855,-19.772,-3.74346e-12,43.3683
10,2,zone_1,glucose,r1032,-9.09008,4.11793e-12,4.995
10,2,zone_1,oxygen,r0855,-19.772,-3.74346e-12,43.3683
10,7,zone_3,glucose,r1032,-9.09008,4.11793e-12,4.995
10,7,zone_3,oxygen,r0855,-19.5887,-3.74346e-12,23.8116
10,7,zone_3,glucose,r1032,-9.09008,4.11793e-12,4.995
10,7,zone_3,oxygen,r0855,-19.5887,-3.74346e-12,23.8116
10,3,zone_2,glucose,r1032,-9.09008,4.11793e-12,4.995
10,3,zone_2,oxygen,r0855,-19.7379,-3.74346e-12,37.6475
10,3,zone_2,glucose,r1032,-9.09008,4.11793e-12,4.995
10,3,zone_2,oxygen,r0855,-19.7379,-3.74346e-12,37.6475
12,0,zone_1,glucose,r1032,-9.08992,4.11793e-12,4.994
12,0,zone_1,oxygen,r0855,-19.7723,-3.74346e-12,43.4145
12,0,zone_1,glucose,r1032,-9.08992,4.11793e-12,4.994
12,0,zone_1,oxygen,r0855,-19.7723,-3.74346e-12,43.4145
12,8,zone_3,glucose,r1032,-9.08992,4.11793e-12,4.994
12,8,zone_3,oxygen,r0855,-19.606,-3.74346e-12,24.8816
12,8,zone_3,glucose,r1032,-9.08992,4.11793e-12,4.994
12,8,zone_3,oxygen,r0855,-19.606,-3.74346e-12,24.8816
12,4,zone_2,glucose,r1032,-9.08992,4.11793e-12,4.994
12,4,zone_2,oxygen,r0855,-19.7368,-3.74346e-12,37.4963
