x,y,z,type,volume
16.2765,1.38747,-11.2426,default,9.38448
19.9303,21.0431,-10.7706,default,9.88972
19.7685,38.045,-13.1853,default,8.5
18.2553,54.4488,-11.9505,default,8.5
17.3996,71.7536,-9.7049,default,10.3965
15.7912,84.5222,-12.5414,default,8.5
31.8832,-93.8062,-12.032,default,8.83098
33.7815,-76.7252,-12.0981,default,9.41174
32.915,-55.3233,-10.3329,default,9.45135
34.2955,-39.046,-9.65797,default,9.62386
31.4499,-21.184,-12.0392,default,9.89423
33.6247,-6.55201,-11.0986,default,8.88235
33.9083,11.7902,-12.9579,default,10.3784
31.1872,28.7325,-10.7347,default,9.24443
33.7682,46.1789,-13.1081,default,9.56238
33.1864,63.6916,-9.99456,default,8.6173
32.5341,79.3176,-9.57153,default,10.0567
45.736,-82.7309,-10.8011,default,8.5
48.7481,-68.0889,-12.1288,default,9.53328
48.2745,-47.9032,-12.3134,default,9.34097
48.8085,-31.8151,-13.1034,default,9.05733
45.3395,-14.4188,-10.8594,default,9.15165
46.5235,0.260725,-10.8298,default,10.1585
47.7357,17.8754,-13.4998,default,10.1742
48.3908,34.4718,-10.1511,default,9.51622
45.9911,55.5107,-12.5476,default,8.5
46.1936,67.9822,-9.65015,default,9.24156
47.7753,85.7106,-13.0943,default,8.6403
60.7972,-74.1023,-11.3302,default,10.3036
60.1107,-55.4248,-13.3388,default,9.61516
61.3028,-42.6742,-11.8065,default,9.39919
62.7513,-25.7433,-12.4047,default,9.28468
63.4579,-7.71699,-11.5504,default,9.83406
60.7085,9.43498,-13.2692,default,10.2245
62.0381,28.9144,-10.319,default,9.92591
63.2034,46.1943,-11.2789,default,9.50542
63.3386,63.8143,-10.7765,default,10.0981
61.1622,77.6831,-13.7121,default,8.90529
77.7239,-47.6748,-10.9928,default,8.5
77.5151,-29.9394,-11.3095,default,8.60685
74.9605,-14.2971,-10.9435,default,10.4528
74.8944,0.696645,-10.6104,default,8.5
77.1884,17.9062,-13.8128,default,8.69993
74.7373,34.7208,-12.6393,default,8.5
75.0677,51.3135,-10.3458,default,9.24246
89.6603,-22.2055,-11.7533,default,8.5
90.1295,-4.24824,-10.0757,default,9.67018
89.62,12.1266,-10.716,default,8.94815
89.5829,26.9814,-11.2267,default,8.57982
89.1957,43.5781,-9.81823,default,10.0381
-93.7351,-16.7883,2.35038,default,9.45997
-95.7338,2.90696,3.16327,default,9.65336
-95.9399,18.5505,2.1722,default,10.2032
-79.8482,-55.7662,3.02606,default,8.5
-82.7174,-41.7014,4.85127,default,9.80047
-80.7886,-22.946,2.34977,default,9.80139
-79.0268,-6.05337,3.75519,default,9.46528
-82.0067,10.4321,2.55874,default,8.90491
-80.6049,25.4132,1.21196,default,8.5
-82.8366,44.0516,2.35589,default,10.2457
-78.9526,61.124,3.35721,default,9.4202
-64.102,-65.5156,1.46147,default,8.86781
-64.2225,-46.9066,4.80097,default,10.2617
-68.468,-33.3416,3.10274,default,8.92266
-68.4907,-14.3586,1.4207,default,10.4365
-67.762,-0.0687358,3.52591,default,10.3306
-64.3596,17.0034,3.39228,default,10.4477
-65.1953,36.802,3.18595,default,10.4249
-65.7418,51.8249,3.62122,default,9.47993
-64.8725,70.5213,3.19526,default,8.5
-49.7993,-75.1665,2.92714,default,8.5823
-50.1662,-59.6431,4.21791,default,8.71413
-51.6159,-42.4253,3.52115,default,8.72965
-52.2097,-24.4339,3.90038,default,8.58632
-49.6998,-5.49337,2.36937,default,8.5
-52.8067,10.2768,3.84857,default,8.5
-53.0525,25.5959,3.06249,default,8.5
-50.1145,42.8981,5.10304,default,9.8444
-50.8895,63.7084,1.57545,default,9.04923
-51.5362,77.8187,1.29143,default,9.76208
-35.1206,-84.1124,3.75668,default,9.36644
-39.0413,-67.4176,3.19619,default,9.15764
-36.7631,-50.2966,4.61706,default,8.5
-35.5977,-32.8759,2.51668,default,9.95707
-38.2835,-13.9819,3.34434,default,8.97516
-36.793,3.2073,4.13448,default,8.90095
-38.2603,20.0752,2.37839,default,10.1518
-38.5707,36.7987,1.04395,default,8.89588
-35.5583,50.5694,2.85559,default,9.82839
-35.4349,71.8035,1.52249,default,10.4423
-34.977,87.9757,3.30346,default,9.58234
-20.4709,-93.9292,1.6253,default,9.51832
-20.396,-76.3795,4.59845,default,8.53528
-23.7124,-57.6671,1.08318,default,9.2155
-23.908,-40.2429,1.32045,default,9.25268
-21.0551,-22.9972,3.70595,default,8.5
-20.3947,-5.09517,3.38535,default,8.55675
-20.212,9.72254,4.4041,default,10.1133
-24.1934,27.5216,0.969725,default,8.5874
-19.9637,47.0325,1.79598,default,9.19996
-22.1828,63.9466,2.23764,default,9.89483
-22.5229,76.7938,1.70986,default,9.60554
-23.5922,96.0568,1.15691,default,9.90756
-7.4651,-98.934,0.929601,default,10.0776
-5.63692,-80.5666,3.7272,default,8.73414
-9.19887,-66.9041,2.97025,default,10.3839
-7.83299,-49.2237,2.01435,default,8.64791
-7.58047,-29.8289,2.11543,default,9.4445
-9.17806,-14.3046,3.13301,default,9.71029
-8.47321,1.79866,3.98884,default,8.5
-6.22558,17.232,1.02303,default,8.51996
-6.1979,34.592,3.99087,default,9.22465
-6.06438,51.8374,3.70008,default,8.5
